acc,rid,status,length,pctN,identity,coverage
IRIS_313-11882,Xa1,OK,9117.0,0.48,,
IRIS_313-11882,Xa21,OK,7787.0,16.69,,
IRIS_313-11882,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11882,xa5,OK,11917.0,0.3,,
IRIS_313-11882,xa13_SWEET11,OK,8541.0,0.53,,
IRIS_313-11882,xa25_SWEET13,OK,8834.0,6.57,,
IRIS_313-11882,Xa27,NO_HIT,,,,
IRIS_313-12033,Xa1,OK,9100.0,1.43,,
IRIS_313-12033,Xa21,OK,7791.0,0.81,,
IRIS_313-12033,Xa3_Xa26,OK,160244.0,19.04,,
IRIS_313-12033,xa5,OK,11917.0,0.27,,
IRIS_313-12033,xa13_SWEET11,OK,8538.0,0.12,,
IRIS_313-12033,xa25_SWEET13,OK,8901.0,1.76,,
IRIS_313-12033,Xa27,NO_HIT,,,,
B214,Xa1,OK,9104.0,3.37,,
B214,Xa21,OK,7769.0,5.34,,
B214,Xa3_Xa26,OK,8505.0,36.87,,
B214,xa5,OK,11917.0,0.49,,
B214,xa13_SWEET11,OK,8538.0,1.28,,
B214,xa25_SWEET13,OK,8840.0,5.07,,
B214,Xa27,OK,5781.0,51.69,,
B217,Xa1,OK,9115.0,2.38,,
B217,Xa21,OK,7769.0,8.04,,
B217,Xa3_Xa26,OK,8497.0,35.51,,
B217,xa5,OK,11917.0,0.52,,
B217,xa13_SWEET11,OK,8538.0,2.35,,
B217,xa25_SWEET13,OK,8847.0,7.17,,
B217,Xa27,OK,5782.0,50.12,,
CX82,Xa1,NO_HIT,,,,
CX82,Xa21,OK,7769.0,6.29,,
CX82,Xa3_Xa26,NO_HIT,,,,
CX82,xa5,OK,11921.0,0.35,,
CX82,xa13_SWEET11,OK,8537.0,0.26,,
CX82,xa25_SWEET13,OK,8860.0,7.6,,
CX82,Xa27,OK,5774.0,50.66,,
CX92,Xa1,OK,27258.0,46.09,,
CX92,Xa21,OK,7772.0,15.94,,
CX92,Xa3_Xa26,NO_HIT,,,,
CX92,xa5,OK,11917.0,0.36,,
CX92,xa13_SWEET11,OK,8538.0,0.49,,
CX92,xa25_SWEET13,OK,8890.0,6.88,,
CX92,Xa27,OK,5777.0,51.12,,
CX97,Xa1,OK,9112.0,0.86,,
CX97,Xa21,OK,7769.0,2.82,,
CX97,Xa3_Xa26,OK,8504.0,33.27,,
CX97,xa5,OK,11917.0,0.33,,
CX97,xa13_SWEET11,OK,8543.0,0.12,,
CX97,xa25_SWEET13,OK,8901.0,0.54,,
CX97,Xa27,OK,5778.0,50.85,,
CX125,Xa1,OK,27245.0,44.81,,
CX125,Xa21,OK,7772.0,17.4,,
CX125,Xa3_Xa26,NO_HIT,,,,
CX125,xa5,OK,11917.0,0.51,,
CX125,xa13_SWEET11,OK,8542.0,0.96,,
CX125,xa25_SWEET13,OK,8849.0,8.31,,
CX125,Xa27,OK,5777.0,52.24,,
CX134,Xa1,OK,9115.0,1.81,,
CX134,Xa21,OK,7769.0,4.8,,
CX134,Xa3_Xa26,OK,8502.0,36.19,,
CX134,xa5,OK,11917.0,0.59,,
CX134,xa13_SWEET11,OK,8543.0,0.62,,
CX134,xa25_SWEET13,OK,8848.0,5.61,,
CX134,Xa27,OK,5781.0,50.99,,
CX150,Xa1,NO_HIT,,,,
CX150,Xa21,OK,7772.0,16.83,,
CX150,Xa3_Xa26,NO_HIT,,,,
CX150,xa5,OK,11917.0,0.46,,
CX150,xa13_SWEET11,OK,8540.0,0.5,,
CX150,xa25_SWEET13,OK,8901.0,0.91,,
CX150,Xa27,NO_HIT,,,,
CX152,Xa1,OK,27282.0,43.11,,
CX152,Xa21,OK,7769.0,4.22,,
CX152,Xa3_Xa26,NO_HIT,,,,
CX152,xa5,OK,11917.0,0.34,,
CX152,xa13_SWEET11,OK,8548.0,0.2,,
CX152,xa25_SWEET13,OK,8896.0,6.31,,
CX152,Xa27,OK,5779.0,51.01,,
CX225,Xa1,NO_HIT,,,,
CX225,Xa21,OK,7772.0,3.41,,
CX225,Xa3_Xa26,NO_HIT,,,,
CX225,xa5,OK,11923.0,0.3,,
CX225,xa13_SWEET11,OK,8541.0,0.4,,
CX225,xa25_SWEET13,OK,8897.0,0.72,,
CX225,Xa27,OK,5779.0,51.13,,
CX250,Xa1,OK,9107.0,2.91,,
CX250,Xa21,OK,7769.0,4.52,,
CX250,Xa3_Xa26,OK,8490.0,50.74,,
CX250,xa5,OK,11917.0,0.5,,
CX250,xa13_SWEET11,OK,8551.0,0.05,,
CX250,xa25_SWEET13,OK,8847.0,5.44,,
CX250,Xa27,OK,5777.0,52.74,,
CX276,Xa1,OK,27237.0,50.68,,
CX276,Xa21,OK,7770.0,18.22,,
CX276,Xa3_Xa26,NO_HIT,,,,
CX276,xa5,OK,11924.0,0.3,,
CX276,xa13_SWEET11,OK,8541.0,0.62,,
CX276,xa25_SWEET13,OK,8851.0,3.68,,
CX276,Xa27,OK,5778.0,52.41,,
CX290,Xa1,OK,9100.0,3.67,,
CX290,Xa21,OK,7770.0,17.66,,
CX290,Xa3_Xa26,NO_HIT,,,,
CX290,xa5,OK,11917.0,0.44,,
CX290,xa13_SWEET11,OK,8547.0,0.05,,
CX290,xa25_SWEET13,OK,8883.0,7.7,,
CX290,Xa27,OK,5777.0,53.0,,
CX305,Xa1,OK,9095.0,2.28,,
CX305,Xa21,OK,7769.0,7.48,,
CX305,Xa3_Xa26,NO_HIT,,,,
CX305,xa5,OK,11917.0,0.54,,
CX305,xa13_SWEET11,OK,8541.0,1.24,,
CX305,xa25_SWEET13,OK,8847.0,6.84,,
CX305,Xa27,OK,5779.0,51.44,,
CX357,Xa1,OK,27244.0,16.95,,
CX357,Xa21,OK,7769.0,6.36,,
CX357,Xa3_Xa26,NO_HIT,,,,
CX357,xa5,OK,11917.0,0.31,,
CX357,xa13_SWEET11,OK,8542.0,0.82,,
CX357,xa25_SWEET13,OK,8897.0,6.56,,
CX357,Xa27,OK,5777.0,51.57,,
CX364,Xa1,NO_HIT,,,,
CX364,Xa21,OK,7772.0,16.56,,
CX364,Xa3_Xa26,NO_HIT,,,,
CX364,xa5,OK,11917.0,0.49,,
CX364,xa13_SWEET11,OK,8557.0,0.04,,
CX364,xa25_SWEET13,OK,8897.0,2.32,,
CX364,Xa27,OK,5782.0,51.68,,
IRIS_313-7808,Xa1,OK,27260.0,22.47,,
IRIS_313-7808,Xa21,OK,7772.0,16.82,,
IRIS_313-7808,Xa3_Xa26,NO_HIT,,,,
IRIS_313-7808,xa5,OK,11923.0,0.01,,
IRIS_313-7808,xa13_SWEET11,OK,8530.0,0.46,,
IRIS_313-7808,xa25_SWEET13,OK,8847.0,5.45,,
IRIS_313-7808,Xa27,OK,5777.0,50.84,,
IRIS_313-8930,Xa1,OK,27246.0,43.34,,
IRIS_313-8930,Xa21,OK,7770.0,2.45,,
IRIS_313-8930,Xa3_Xa26,NO_HIT,,,,
IRIS_313-8930,xa5,OK,11917.0,0.3,,
IRIS_313-8930,xa13_SWEET11,OK,8544.0,0.09,,
IRIS_313-8930,xa25_SWEET13,OK,8847.0,5.14,,
IRIS_313-8930,Xa27,OK,5779.0,52.15,,
IRIS_313-9066,Xa1,OK,27274.0,40.89,,
IRIS_313-9066,Xa21,OK,7770.0,2.95,,
IRIS_313-9066,Xa3_Xa26,NO_HIT,,,,
IRIS_313-9066,xa5,OK,11921.0,0.37,,
IRIS_313-9066,xa13_SWEET11,OK,8541.0,0.02,,
IRIS_313-9066,xa25_SWEET13,OK,8893.0,0.47,,
IRIS_313-9066,Xa27,OK,5777.0,51.19,,
IRIS_313-10333,Xa1,OK,27289.0,44.73,,
IRIS_313-10333,Xa21,OK,7769.0,2.95,,
IRIS_313-10333,Xa3_Xa26,NO_HIT,,,,
IRIS_313-10333,xa5,OK,11917.0,0.34,,
IRIS_313-10333,xa13_SWEET11,OK,8534.0,0.05,,
IRIS_313-10333,xa25_SWEET13,OK,8887.0,5.54,,
IRIS_313-10333,Xa27,OK,5777.0,51.83,,
IRIS_313-10397,Xa1,OK,9103.0,3.14,,
IRIS_313-10397,Xa21,OK,7772.0,17.23,,
IRIS_313-10397,Xa3_Xa26,OK,159439.0,73.74,,
IRIS_313-10397,xa5,OK,11919.0,0.03,,
IRIS_313-10397,xa13_SWEET11,OK,8537.0,1.96,,
IRIS_313-10397,xa25_SWEET13,OK,8847.0,5.91,,
IRIS_313-10397,Xa27,OK,5777.0,52.07,,
IRIS_313-11784,Xa1,OK,9116.0,2.14,,
IRIS_313-11784,Xa21,OK,7769.0,2.66,,
IRIS_313-11784,Xa3_Xa26,NO_HIT,,,,
IRIS_313-11784,xa5,OK,11917.0,0.36,,
IRIS_313-11784,xa13_SWEET11,OK,8547.0,0.08,,
IRIS_313-11784,xa25_SWEET13,OK,8887.0,0.91,,
IRIS_313-11784,Xa27,OK,5782.0,51.33,,
IRIS_313-11798,Xa1,OK,27265.0,37.37,,
IRIS_313-11798,Xa21,OK,7774.0,16.35,,
IRIS_313-11798,Xa3_Xa26,OK,159960.0,70.25,,
IRIS_313-11798,xa5,OK,11917.0,0.33,,
IRIS_313-11798,xa13_SWEET11,OK,8555.0,0.06,,
IRIS_313-11798,xa25_SWEET13,OK,8887.0,0.5,,
IRIS_313-11798,Xa27,OK,5778.0,50.71,,
IRIS_313-11930,Xa1,NO_HIT,,,,
IRIS_313-11930,Xa21,OK,7769.0,3.15,,
IRIS_313-11930,Xa3_Xa26,OK,159650.0,72.45,,
IRIS_313-11930,xa5,OK,11921.0,0.31,,
IRIS_313-11930,xa13_SWEET11,OK,8551.0,0.02,,
IRIS_313-11930,xa25_SWEET13,OK,8887.0,0.43,,
IRIS_313-11930,Xa27,OK,5779.0,51.77,,
B012,Xa1,NO_HIT,,,,
B012,Xa21,OK,7783.0,29.69,,
B012,Xa3_Xa26,NO_HIT,,,,
B012,xa5,OK,11923.0,0.31,,
B012,xa13_SWEET11,OK,8543.0,0.46,,
