id,locus,present,cov,idt
IRIS_313-11738,Xa48,0,1.0,0.8
IRIS_313-11760,Xa7,0,0.0,0.0
IRIS_313-11760,Xa10,0,0.0,0.0
IRIS_313-11760,Xa23,0,0.0,0.0
IRIS_313-11760,Xa48,0,1.0,0.799
IRIS_313-11761,Xa7,0,0.0,0.0
IRIS_313-11761,Xa10,0,0.0,0.0
IRIS_313-11761,Xa23,0,0.0,0.0
IRIS_313-11761,Xa48,0,1.0,0.799
IRIS_313-11762,Xa7,0,0.0,0.0
IRIS_313-11762,Xa10,0,0.0,0.0
IRIS_313-11762,Xa23,1,0.812,0.996
IRIS_313-11762,Xa48,0,1.0,0.799
IRIS_313-11787,Xa7,0,0.0,0.0
IRIS_313-11787,Xa10,0,0.0,0.0
IRIS_313-11787,Xa23,0,0.0,0.0
IRIS_313-11787,Xa48,0,1.0,0.799
IRIS_313-11789,Xa7,0,0.0,0.0
IRIS_313-11789,Xa10,0,0.0,0.0
IRIS_313-11789,Xa23,0,0.119,1.0
IRIS_313-11789,Xa48,0,1.0,0.799
IRIS_313-11791,Xa7,0,0.0,0.0
IRIS_313-11791,Xa10,0,0.0,0.0
IRIS_313-11791,Xa23,0,0.0,0.0
IRIS_313-11791,Xa48,1,1.0,0.802
IRIS_313-11794,Xa7,0,0.0,0.0
IRIS_313-11794,Xa10,0,0.0,0.0
IRIS_313-11794,Xa23,0,0.0,0.0
IRIS_313-11794,Xa48,0,1.0,0.799
IRIS_313-11811,Xa7,0,0.0,0.0
IRIS_313-11811,Xa10,0,0.0,0.0
IRIS_313-11811,Xa23,0,0.0,0.0
IRIS_313-11811,Xa48,0,1.0,0.799
IRIS_313-11821,Xa7,0,0.0,0.0
IRIS_313-11821,Xa10,0,0.0,0.0
IRIS_313-11821,Xa23,1,0.812,0.996
IRIS_313-11821,Xa48,0,1.0,0.8
IRIS_313-11823,Xa7,0,0.0,0.0
IRIS_313-11823,Xa10,0,0.0,0.0
IRIS_313-11823,Xa23,1,0.812,0.996
IRIS_313-11823,Xa48,0,1.0,0.799
IRIS_313-11824,Xa7,0,0.0,0.0
IRIS_313-11824,Xa10,0,0.0,0.0
IRIS_313-11824,Xa23,1,0.812,0.996
IRIS_313-11824,Xa48,0,1.0,0.8
CX107,Xa7,0,0.0,0.0
CX107,Xa10,0,0.0,0.0
CX107,Xa23,1,0.812,0.996
CX107,Xa48,0,0.772,0.738
CX154,Xa7,0,0.0,0.0
CX154,Xa10,0,0.0,0.0
CX154,Xa23,1,0.812,0.996
CX154,Xa48,0,1.0,0.791
IRIS_313-8586,Xa7,0,0.0,0.0
IRIS_313-8586,Xa10,0,0.0,0.0
IRIS_313-8586,Xa23,1,0.812,0.998
IRIS_313-8586,Xa48,1,1.0,0.803
IRIS_313-8725,Xa7,0,0.0,0.0
IRIS_313-8725,Xa10,0,0.0,0.0
IRIS_313-8725,Xa23,1,0.812,0.996
IRIS_313-8725,Xa48,0,0.761,0.741
IRIS_313-9020,Xa23,1,0.812,0.998
IRIS_313-9020,Xa48,0,1.0,0.799
IRIS_313-9112,Xa23,1,0.812,0.996
IRIS_313-9112,Xa48,0,1.0,0.799
IRIS_313-10511,Xa23,1,0.812,0.996
IRIS_313-10511,Xa48,1,1.0,0.804
IRIS_313-11079,Xa23,1,0.812,0.999
IRIS_313-11079,Xa48,0,1.0,0.798
IRIS_313-11089,Xa23,1,0.812,0.998
IRIS_313-11089,Xa48,0,1.0,0.799
IRIS_313-11095,Xa23,1,0.812,0.997
IRIS_313-11095,Xa48,0,1.0,0.799
IRIS_313-11151,Xa23,1,0.812,0.996
IRIS_313-11151,Xa48,0,1.0,0.799
IRIS_313-11528,Xa23,1,0.812,0.996
IRIS_313-11528,Xa48,0,1.0,0.8
IRIS_313-11635,Xa23,1,0.812,0.996
IRIS_313-11635,Xa48,1,1.0,0.808
IRIS_313-11677,Xa23,1,0.812,0.998
IRIS_313-11677,Xa48,0,1.0,0.8
IRIS_313-11683,Xa23,1,0.812,0.996
IRIS_313-11683,Xa48,0,1.0,0.8
IRIS_313-11685,Xa23,1,0.812,0.998
IRIS_313-11685,Xa48,0,1.0,0.8
IRIS_313-11700,Xa23,1,0.812,0.998
IRIS_313-11700,Xa48,0,1.0,0.799
IRIS_313-11705,Xa23,1,0.812,0.996
IRIS_313-11705,Xa48,0,1.0,0.799
IRIS_313-11708,Xa23,1,0.812,0.996
IRIS_313-11708,Xa48,0,1.0,0.8
IRIS_313-11716,Xa23,1,0.812,0.997
IRIS_313-11716,Xa48,0,1.0,0.8
IRIS_313-11719,Xa23,1,0.812,0.996
IRIS_313-11719,Xa48,0,1.0,0.8
IRIS_313-11720,Xa23,1,0.812,0.998
IRIS_313-11720,Xa48,0,1.0,0.799
IRIS_313-11721,Xa23,1,0.812,0.996
IRIS_313-11721,Xa48,0,1.0,0.8
IRIS_313-11724,Xa23,1,0.812,0.996
IRIS_313-11724,Xa48,0,1.0,0.799
IRIS_313-11728,Xa23,1,0.812,0.998
IRIS_313-11728,Xa48,0,1.0,0.799
IRIS_313-11764,Xa23,1,0.812,0.998
IRIS_313-11764,Xa48,0,1.0,0.8
IRIS_313-11786,Xa23,1,0.812,0.998
IRIS_313-11786,Xa48,0,1.0,0.799
IRIS_313-11812,Xa23,1,0.812,0.998
IRIS_313-11812,Xa48,0,1.0,0.799
IRIS_313-11814,Xa23,1,0.812,0.996
IRIS_313-11814,Xa48,0,1.0,0.799
IRIS_313-11815,Xa23,1,0.812,0.998
IRIS_313-11815,Xa48,0,1.0,0.799
IRIS_313-11820,Xa23,1,0.812,0.996
IRIS_313-11820,Xa48,0,1.0,0.799
IRIS_313-12121,Xa23,1,0.812,0.996
IRIS_313-12121,Xa48,0,1.0,0.8
IRIS_313-12127,Xa23,1,0.812,0.996
IRIS_313-12127,Xa48,1,1.0,0.807
IRIS_313-12128,Xa23,1,0.812,0.996
IRIS_313-12128,Xa48,0,1.0,0.796
B011,Xa23,1,0.812,0.996
B011,Xa48,0,1.0,0.794
B039,Xa23,1,0.812,0.995
B039,Xa48,0,1.0,0.794
B040,Xa23,1,0.812,0.996
B040,Xa48,0,1.0,0.799
B097,Xa23,1,0.812,0.996
B097,Xa48,0,1.0,0.795
B125,Xa23,1,0.812,0.996
B125,Xa48,0,0.777,0.746
B229,Xa23,1,0.812,0.998
B229,Xa48,0,0.764,0.745
B253,Xa23,0,0.253,0.916
B253,Xa48,0,1.0,0.799
B254,Xa23,0,0.253,0.916
B254,Xa48,0,1.0,0.798
CX4,Xa23,1,0.807,0.974
CX4,Xa48,0,1.0,0.794
CX117,Xa23,1,0.812,0.996
CX117,Xa48,0,1.0,0.795
CX118,Xa23,1,0.812,0.996
CX118,Xa48,1,1.0,0.802
CX120,Xa23,1,0.812,0.996
CX120,Xa48,0,0.76,0.748
CX221,Xa23,1,0.812,0.996
CX221,Xa48,0,1.0,0.794
CX235,Xa23,1,0.812,0.996
CX235,Xa48,0,1.0,0.792
CX240,Xa23,1,0.812,0.996
CX240,Xa48,0,0.75,0.723
CX263,Xa23,1,0.717,0.905
CX263,Xa48,0,0.757,0.741
CX273,Xa23,0,0.278,0.916
CX273,Xa48,0,0.757,0.74
CX288,Xa23,1,0.812,0.996
CX288,Xa48,0,1.0,0.794
CX303,Xa23,1,0.812,0.996
CX303,Xa48,0,1.0,0.796
CX542,Xa23,1,0.812,0.997
CX542,Xa48,1,1.0,0.803
IRIS_313-8341,Xa23,1,0.812,0.998
IRIS_313-8341,Xa48,0,1.0,0.792
IRIS_313-8386,Xa23,1,0.812,0.996
IRIS_313-8386,Xa48,0,1.0,0.797
IRIS_313-8453,Xa23,1,0.812,0.996
IRIS_313-8453,Xa48,0,1.0,0.797
IRIS_313-8986,Xa23,0,0.253,0.916
IRIS_313-8986,Xa48,0,1.0,0.799
IRIS_313-9023,Xa23,0,0.253,0.92
IRIS_313-9023,Xa48,0,1.0,0.799
IRIS_313-9602,Xa23,1,0.812,0.996
IRIS_313-9602,Xa48,0,1.0,0.799
IRIS_313-10177,Xa23,1,0.812,0.996
